,GPU_ID,Local_GPU_ID,Node_ID,IP_addr,IN_USE,JOB_IDS,PerfVar_classA,PerfVar_classB,PerfVar_classC,PerfVar_classD
0,0,0,0,,True,11075,1.0675673467964424,0.992143770058407,0.992143770058407,0.9999827146491419
1,1,1,0,,True,11050,0.9854545897892344,0.9819647749209741,0.9819647749209741,0.9730082022832525
2,2,2,0,,True,11075,1.008581078731431,1.0020392334308499,1.0020392334308499,1.0019580727969086
3,3,3,0,,True,11050,0.9942958373866568,0.9880312453633538,0.9880312453633538,0.9733086097967427
0,4,0,1,,True,10974,0.9511773536422221,1.0081278178836188,1.0081278178836188,1.000774394033004
1,5,1,1,,True,11048,1.0368152565383901,0.9892281228425134,0.9892281228425134,1.0016170820727002
2,6,2,1,,True,11043,0.984021982471352,1.0138641421942316,1.0138641421942316,0.9989581746791177
3,7,3,1,,True,11074,0.9860336579504715,1.2662606382256576,1.2662606382256576,1.0022144541099367
0,8,0,2,,True,11050,0.9741677781335526,0.9994598030174572,0.9994598030174572,1.0024170950734088
1,9,1,2,,True,11047,0.9494875914641446,0.9865910492740784,0.9865910492740784,0.9705077371031634
2,10,2,2,,True,11075,1.0011008628601095,1.0004109191066437,1.0004109191066437,1.0003303034375826
3,11,3,2,,True,11050,0.9543604631769386,1.0066014029521615,1.0066014029521615,1.0032004574163091
0,12,0,3,,True,11013,2.715074155340162,0.9995890808933563,0.9995890808933563,1.0000915735060376
1,13,1,3,,True,11050,0.9751574446434754,1.0059220682925143,1.0059220682925143,0.9725549670474224
2,14,2,3,,True,10974,1.0002693117723136,1.0148818462049665,1.0148818462049665,1.002779149149556
3,15,3,3,,True,11010,0.9735124461086094,1.001879477240596,1.001879477240596,0.9994040179172528
0,16,0,4,,True,11050,1.182990233349692,1.001246212764094,1.001246212764094,0.9999161398762861
1,17,1,4,,True,11085,0.9997306882276865,1.0022211439413915,1.0022211439413915,0.9986532585400754
2,18,2,4,,True,11075,1.1850212713346768,0.9876466526515061,0.9876466526515061,0.999750127081112
3,19,3,4,,True,11051,0.980374295333032,1.2684537022916629,1.2684537022916629,0.9993138038001358
0,20,0,5,,True,11066,2.879982566523198,0.9958064886876073,0.9958064886876073,1.0022330729877056
1,21,1,5,,True,11068,1.046547488199274,0.9988639824057934,0.9988639824057934,0.9998667421060776
2,22,2,5,,True,11043,1.2123725737708257,0.9967657796242363,0.9967657796242363,1.0015372927201203
3,23,3,5,,True,11013,0.9890176797197281,0.9966275207029222,0.9966275207029222,0.9991288714472968
0,24,0,6,,False,,0.9911493501259234,0.9886293233293408,0.9886293233293408,0.9993418985637785
1,25,1,6,,True,11063,0.9830089481241041,0.9950916289142967,0.9950916289142967,1.0026882806933355
2,26,2,6,,True,11047,1.0373820301374268,1.0062865907058338,1.0062865907058338,1.00211884551024
3,27,3,6,,True,11050,1.0802250846458246,1.0029836056739956,1.0029836056739956,1.0026383454924082
0,28,0,7,,True,11066,1.0195552882767656,1.002515474728225,1.002515474728225,0.9712249336256953
1,29,1,7,,True,11050,1.0196571011393303,1.005342190245759,1.005342190245759,1.0000172853508582
2,30,2,7,,True,11068,0.9822881257029827,0.9927298195506427,0.9927298195506427,1.0012679211614008
3,31,3,7,,True,11010,1.1559706831320031,0.9804138556021391,0.9804138556021391,0.9990183252832919
